,HISTORY,HOSPITALS,CITIES,TOTAL QUOATA,VACANT,LOWEST POINT,HIGHEST POINT,REGIONS
0,1.12.2020,Posof İlçe Devlet Hast.,Ardahan,1,0,"73,74","73,74",Doğu Anadolu Bölgesi
1,1.12.2020,Göle Devlet Hast.,Ardahan,2,0,"74,32","74,63",Doğu Anadolu Bölgesi
2,1.12.2020,Ardahan Devlet Hast.,Ardahan,5,0,"75,36","75,93",Doğu Anadolu Bölgesi
3,1.12.2020,Ardahan Çıldır TSM.,Ardahan,1,0,76,76,Doğu Anadolu Bölgesi
4,1.12.2020,Şiran Devlet Hast.,Gümüşhane,1,0,"73,8","73,8",Karadeniz Bölgesi
5,1.12.2020,Kürtün İlçe Devlet Hast.,Gümüşhane,2,0,"74,66","74,85",Karadeniz Bölgesi
6,1.12.2020,Kelkit Devlet Hast.,Gümüşhane,2,0,"76,18","89,24",Karadeniz Bölgesi
7,1.12.2020,Gümüşhane Devlet Hast.,Gümüşhane,3,0,"76,24","78,03",Karadeniz Bölgesi
8,1.12.2020,Köse İlçe Devlet Hast.,Gümüşhane,1,0,"78,43","78,43",Karadeniz Bölgesi
9,1.12.2020,Gümüşhane Kelkit İlçe Sağlık Müd.,Gümüşhane,1,0,"80,62","80,62",Karadeniz Bölgesi
10,1.12.2020,Gümüşhane Merkez TSM.,Gümüşhane,1,0,"85,01","85,01",Karadeniz Bölgesi
11,1.12.2020,Tekman Şehit Piyade Çavuş Muhammet Binici Devlet Hast.,Erzurum,5,0,"74,16","74,52",Doğu Anadolu Bölgesi
12,1.12.2020,Narman İlçe Devlet Hast.,Erzurum,1,0,"74,21","74,21",Doğu Anadolu Bölgesi
13,1.12.2020,Karaçoban İlçe Devlet Hast.,Erzurum,2,0,"74,25","74,35",Doğu Anadolu Bölgesi
14,1.12.2020,Şenkaya İlçe Devlet Hast.,Erzurum,1,0,"74,41","74,41",Doğu Anadolu Bölgesi
15,1.12.2020,Olur İlçe Devlet Hast.,Erzurum,1,0,"74,47","74,47",Doğu Anadolu Bölgesi
16,1.12.2020,Karayazı Türk Eczacıları Birliği İlçe Devlet Hast.,Erzurum,2,0,"74,74","74,91",Doğu Anadolu Bölgesi
17,1.12.2020,Hınıs Şehit Yavuz Yürekseven Devlet Hast.,Erzurum,4,0,"75,14","75,5",Doğu Anadolu Bölgesi
18,1.12.2020,Pazaryolu Hasan Basri Demirbağ İlçe Devlet Hast.,Erzurum,1,0,"75,33","75,33",Doğu Anadolu Bölgesi
19,1.12.2020,Aşkale İlçe Devlet Hast.,Erzurum,6,0,"75,76","77,34",Doğu Anadolu Bölgesi
20,1.12.2020,Uzundere Şehit İhsan Erdoğan İlçe Devlet Hast.,Erzurum,1,0,"75,78","75,78",Doğu Anadolu Bölgesi
21,1.12.2020,Horasan Devlet Hast.,Erzurum,8,0,"76,38","78,83",Doğu Anadolu Bölgesi
22,1.12.2020,Tortum İlçe Devlet Hast.,Erzurum,3,0,"76,81","77,05",Doğu Anadolu Bölgesi
23,1.12.2020,Pasinler İbrahim Hakkı Devlet Hast.,Erzurum,3,0,"77,57","82,48",Doğu Anadolu Bölgesi
24,1.12.2020,Erzurum Bölge EAH.,Erzurum,32,0,"78,25","87,99",Doğu Anadolu Bölgesi
